Participant,Experimental_Group,recruitment_platform,Effects_Perception
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,4
10,Disclosed,Prolific,3.333333333
10,Disclosed,Prolific,4.333333333
10,Disclosed,Prolific,4.333333333
10,Disclosed,Prolific,4.333333333
10,Disclosed,Prolific,4.333333333
10,Disclosed,Prolific,3.333333333
10,Disclosed,Prolific,4.666666667
10,Disclosed,Prolific,5
10,Disclosed,Prolific,4.333333333
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,2.666666667
10,Disclosed,Prolific,4
10,Disclosed,Prolific,3.333333333
10,Disclosed,Prolific,4.333333333
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,2.666666667
10,Disclosed,Prolific,3
10,Disclosed,Prolific,4
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,4
10,Disclosed,Prolific,3.666666667
10,Disclosed,Prolific,4.333333333
10,Disclosed,Prolific,3.333333333
10,Disclosed,Prolific,4.666666667
11,Disclosed,Prolific,4.333333333
11,Disclosed,Prolific,4
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3.666666667
11,Disclosed,Prolific,4.333333333
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,4.666666667
11,Disclosed,Prolific,3.666666667
11,Disclosed,Prolific,3.666666667
11,Disclosed,Prolific,4
11,Disclosed,Prolific,3
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3.666666667
11,Disclosed,Prolific,4
11,Disclosed,Prolific,4
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3.666666667
11,Disclosed,Prolific,4.333333333
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,3
11,Disclosed,Prolific,4
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,4
11,Disclosed,Prolific,3.666666667
11,Disclosed,Prolific,3.333333333
11,Disclosed,Prolific,4.333333333
12,Not Disclosed,Prolific,3.666666667
