Experimental_Group,Participant,Ranking_AI1,Ranking_AI2,Ranking_AI3,Ranking_AI4,Ranking_AI5,Ranking_AI6,Ranking_AI7,Ranking_AI8,Ranking_AI9,Ranking_AI10,Ranking_AI11,Ranking_AI12,Ranking_AI13,Ranking_AI14,Ranking_AI15,Ranking_Human1,Ranking_Human2,Ranking_Human3,Ranking_Human4,Ranking_Human5,Ranking_Human6,Ranking_Human7,Ranking_Human8,Ranking_Human9,Ranking_Human10,Ranking_Human11,Ranking_Human12,Ranking_Human13,Ranking_Human14,Ranking_Human15,Dis_AI1,Dis_AI2,Dis_AI3,Dis_AI4,Dis_AI5,Dis_AI6,Dis_AI7,Dis_AI8,Dis_AI9,Dis_AI10,Dis_AI11,Dis_AI12,Dis_AI13,Dis_AI14,Dis_AI15,Dis_Hum1,Dis_Hum2,Dis_Hum3,Dis_Hum4,Dis_Hum5,Dis_Hum6,Dis_Hum7,Dis_Hum8,Dis_Hum9,Dis_Hum10,Dis_Hum11,Dis_Hum12,Dis_Hum13,Dis_Hum14,Dis_Hum15,Con_AI1,Con_AI2,Con_AI3,Con_AI4,Con_AI5,Con_AI6,Con_AI7,Con_AI8,Con_AI9,Con_AI10,Con_AI11,Con_AI12,Con_AI13,Con_AI14,Con_AI15,Con_Hum1,Con_Hum2,Con_Hum3,Con_Hum4,Con_Hum5,Con_Hum6,Con_Hum7,Con_Hum8,Con_Hum9,Con_Hum10,Con_Hum11,Con_Hum12,Con_Hum13,Con_Hum14,Con_Hum15,Unp_AI1,Unp_AI2,Unp_AI3,Unp_AI4,Unp_AI5,Unp_AI6,Unp_AI7,Unp_AI8,Unp_AI9,Unp_AI10,Unp_AI11,Unp_AI12,Unp_AI13,Unp_AI14,Unp_AI15,Unp_Hum1,Unp_Hum2,Unp_Hum3,Unp_Hum4,Unp_Hum5,Unp_Hum6,Unp_Hum7,Unp_Hum8,Unp_Hum9,Unp_Hum10,Unp_Hum11,Unp_Hum12,Unp_Hum13,Unp_Hum14,Unp_Hum15,Lapp_AI1,Lapp_AI2,Lapp_AI3,Lapp_AI4,Lapp_AI5,Lapp_AI6,Lapp_AI7,Lapp_AI8,Lapp_AI9,Lapp_AI10,Lapp_AI11,Lapp_AI12,Lapp_AI13,Lapp_AI14,Lapp_AI15,Lapp_Hum1,Lapp_Hum2,Lapp_Hum3,Lapp_Hum4,Lapp_Hum5,Lapp_Hum6,Lapp_Hum7,Lapp_Hum8,Lapp_Hum9,Lapp_Hum10,Lapp_Hum11,Lapp_Hum12,Lapp_Hum13,Lapp_Hum14,Lapp_Hum15,Age,Sex,Ethnicity,Source
Disclosed,67,1,4,3,16,21,26,8,11,23,10,25,20,17,2,14,5,22,30,24,12,15,9,28,19,7,18,6,13,29,27,4,5,4,4,4,5,4,4,3,3,4,4,4,5,4,4,5,4,3,5,5,5,4,5,4,3,5,4,5,4,4,5,3,4,4,5,4,4,4,5,4,3,3,4,5,5,5,5,3,5,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,5,4,4,4,3,3,4,4,5,5,3,4,4,5,4,5,5,5,4,4,4,4,3,4,2,4,5,4,5,3,4,4,4,5,3,4,4,4,5,3,4,4,4,2,2,4,4,5,4,4,3,4,3,21,Female,Mixed,sona
Disclosed,68,14,7,22,2,13,1,17,4,6,25,12,30,9,5,8,27,23,26,19,15,11,29,28,21,24,3,18,10,20,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,Female,White,sona
Not Disclosed,69,2,28,4,20,3,5,12,7,19,14,15,8,24,30,29,16,27,6,25,18,17,21,10,11,9,26,22,23,1,13,4,5,4,5,5,5,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,3,4,5,5,3,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,2,4,5,4,4,5,4,5,5,2,5,5,4,4,4,3,2,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,21,Female,White,sona
Not Disclosed,70,7,28,11,6,5,10,15,1,3,9,2,22,8,25,16,21,4,27,13,19,17,29,20,26,23,18,12,30,14,24,5,5,4,4,5,5,5,5,5,5,5,2,5,3,4,4,5,2,4,5,4,4,4,4,5,5,5,2,5,3,4,5,4,5,4,5,4,4,5,4,3,2,5,2,3,4,4,4,5,5,5,2,4,5,5,5,5,2,4,4,5,5,4,5,5,5,5,4,5,4,5,4,4,4,5,4,5,3,5,5,5,3,4,4,5,5,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,4,4,5,5,5,5,5,5,5,23,Female,Mixed,sona
Disclosed,71,16,27,26,9,6,10,2,14,7,4,13,30,5,12,8,19,25,29,22,1,3,28,15,11,17,23,24,18,21,20,4,4,3,5,4,5,5,4,4,5,5,2,4,3,5,2,3,2,5,4,4,1,5,5,2,2,5,2,3,3,3,4,3,5,4,5,4,3,4,4,4,1,4,3,3,2,3,2,4,4,4,2,3,4,3,3,4,3,3,3,4,4,3,5,4,4,4,3,3,3,4,1,3,3,4,2,3,2,4,4,4,2,4,4,3,2,3,4,2,3,3,4,3,5,4,5,4,3,4,4,5,2,3,4,4,2,4,2,4,4,4,2,4,4,3,3,4,4,3,3,20,Female,Black,sona
Not Disclosed,72,29,6,21,9,22,10,27,7,3,2,23,11,30,15,8,12,1,25,13,18,5,14,4,19,26,20,17,24,28,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,Male,White,sona
Disclosed,73,6,9,18,5,26,12,16,19,14,24,1,15,11,10,22,28,3,23,21,4,2,29,20,13,17,7,8,25,30,27,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,3,5,4,5,2,4,5,4,5,4,1,5,5,2,4,5,4,5,5,5,4,5,3,3,3,4,5,3,5,3,5,4,3,5,3,3,4,3,4,4,3,5,5,4,5,4,4,5,5,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,Female,White,sona
Not Disclosed,74,18,13,21,12,5,1,19,16,3,8,4,30,28,27,11,29,26,25,9,20,22,6,10,7,15,24,14,17,2,23,2,3,2,5,3,4,3,4,5,5,3,3,3,3,3,3,4,4,3,2,3,4,3,5,5,5,5,2,5,3,3,4,4,5,4,4,3,4,5,4,3,2,4,3,4,3,3,2,4,3,4,5,4,5,5,5,5,3,5,3,2,4,1,5,4,3,4,3,5,3,4,1,2,2,3,2,2,4,4,3,3,4,4,5,5,5,5,3,5,2,4,5,3,5,5,5,5,4,5,4,4,3,4,3,4,4,3,3,4,4,4,5,4,5,5,5,5,4,5,3,20,Female,White,sona
Disclosed,75,8,22,17,24,12,18,13,6,25,7,23,30,4,26,5,14,9,29,19,27,11,15,21,2,16,1,3,28,10,20,4,4,5,4,4,5,5,5,3,4,4,5,4,4,4,3,4,4,5,4,4,3,5,5,4,4,4,4,5,4,5,4,5,5,4,5,5,5,4,5,5,4,3,5,5,4,5,4,4,4,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,4,4,5,4,2,3,4,4,2,5,5,5,2,5,4,5,5,5,5,4,20,Female,White,sona
Not Disclosed,76,9,22,27,2,1,28,15,8,24,3,4,12,20,5,25,16,30,14,18,7,23,13,10,21,19,6,26,29,17,11,5,4,4,5,5,4,5,4,5,4,4,3,5,4,4,2,5,4,5,4,5,3,4,5,5,5,4,3,5,5,4,2,4,4,5,5,4,4,5,2,4,3,4,4,4,2,2,4,4,4,3,3,4,4,5,4,5,3,4,1,3,2,3,4,4,4,5,4,4,2,3,2,3,2,2,4,1,3,4,3,2,1,2,4,4,3,5,3,3,2,5,4,5,5,5,5,5,4,5,5,4,4,3,4,5,3,4,4,5,4,5,5,4,5,5,5,5,3,4,4,19,Female,White,sona
Disclosed,77,18,13,7,29,16,26,6,12,27,17,5,30,9,21,23,28,15,8,20,2,24,14,25,22,1,3,10,19,4,11,5,4,4,4,4,4,5,5,4,5,5,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,5,3,4,4,4,3,4,4,4,4,4,3,5,4,3,3,3,4,4,4,5,3,4,3,4,4,4,5,4,5,4,4,5,5,4,4,4,4,5,5,4,4,4,5,4,2,4,2,5,5,4,3,4,4,3,4,4,4,5,4,4,2,4,4,4,5,4,4,5,4,4,2,3,4,4,2,5,3,4,4,3,4,4,4,4,3,4,4,5,3, ,Female,Mixed,sona
Disclosed,78,10,21,5,2,25,17,12,14,13,15,24,9,8,27,29,30,7,23,11,22,28,26,20,16,6,1,3,18,19,4,5,4,5,5,5,5,4,3,5,4,4,2,3,4,2,2,3,4,5,3,4,3,5,4,4,5,5,4,5,4,5,5,5,5,4,5,5,4,5,5,5,4,4,2,4,2,2,5,4,4,3,4,4,4,2,5,5,4,5,4,5,2,5,5,4,4,4,4,5,5,4,2,2,2,5,2,2,2,5,5,4,4,5,4,3,5,5,4,3,3,4,5,4,5,5,5,5,3,5,4,5,3,2,4,4,2,2,2,5,4,4,3,2,5,3,5,5,4,5,3,19,Female,White,sona
Not Disclosed,79,28,30,24,16,23,29,20,12,18,5,2,8,1,14,19,25,3,6,9,21,4,11,15,27,13,26,17,7,10,22,5,4,5,5,3,5,4,5,4,4,3,2,3,3,4,2,3,4,4,5,4,4,4,5,4,5,5,4,3,3,5,4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,4,5,4,4,5,3,5,5,3,3,4,5,4,5,3,2,4,5,3,3,5,4,5,4,3,5,3,4,5,4,4,4,4,3,3,3,5,4,4,4,4,4,3,5,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,5,3,22,Male,White,sona
Not Disclosed,80,23,10,4,5,2,12,14,9,1,8,22,28,20,18,13,29,15,26,7,3,11,21,17,19,16,25,6,30,27,24,5,4,4,5,5,5,5,5,5,5,5,3,4,5,5,3,5,3,5,5,5,5,4,4,5,3,4,2,4,4,4,2,2,5,5,5,5,4,5,4,5,3,3,4,4,2,5,2,5,5,3,4,4,4,5,3,4,1,2,3,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,3,5,3,5,5,5,5,5,4,5,4,5,2,5,4,5,4,5,5,5,5,5,4,5,5,5,3,4,4,5,3,5,5,5,5,4,5,5,4,5,4,4,3,4,4,19,Female,Asian,sona
Disclosed,81,22,11,15,26,21,5,3,7,4,14,8,20,9,17,24,12,23,6,13,2,27,1,10,16,25,29,18,19,28,30,4,5,3,5,4,4,5,4,4,3,3,2,3,4,4,2,5,4,4,4,4,5,5,4,5,4,5,3,5,3,4,4,5,5,4,4,5,5,4,4,3,3,2,5,3,3,3,2,4,4,5,5,5,4,5,5,5,3,5,4,3,3,2,5,5,4,4,3,5,4,5,3,3,4,3,3,4,5,5,4,5,5,4,4,5,4,5,2,5,4,4,4,3,4,5,5,5,5,5,4,4,3,4,4,4,3,5,4,5,5,4,5,4,4,5,5,5,3,5,4,19,Male,Black,sona
Not Disclosed,82,4,28,27,9,8,10,2,6,1,19,3,29,13,16,18,26,15,30,5,12,17,21,20,25,7,23,11,24,14,22,5,2,2,5,5,4,5,5,5,4,5,2,4,4,2,2,4,3,5,4,5,4,4,2,4,4,5,3,4,4,4,2,1,4,2,4,5,5,5,3,5,2,2,2,2,2,4,1,5,2,2,2,2,2,4,2,4,2,5,2,5,2,2,5,5,4,5,5,5,4,5,2,2,4,2,2,4,2,5,2,4,2,4,2,5,4,5,2,4,4,4,4,4,4,5,4,5,5,4,4,4,2,2,2,2,2,4,1,5,4,4,4,2,1,5,2,5,1,5,2,19,Male,White,sona
Disclosed,83,23,29,9,15,21,4,14,16,28,26,2,3,24,5,13,22,17,7,8,11,10,27,6,20,12,25,18,30,1,19,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,5,4,4,3,3,4,4,4,5,4,5,4,5,4,3,5,5,5,5,4,5,5,5,3,5,5,5,4,5,2,5,5,5,4,4,3,3,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,5,3,4,4,4,5,4,5,4,5,5,4,5,5,5,4,5,5,4,5,4,4,5,5,4,4,3,5,4,4,5,4,5,4,5,5,4,5,4,19,Female,White,sona
Not Disclosed,84,6,18,25,13,4,10,2,8,7,12,9,30,14,11,28,20,5,29,1,27,19,23,16,15,24,26,3,21,22,17,5,3,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,2,4,4,5,5,5,5,5,5,5,2,4,5,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,19,Female,Other,sona
Disclosed,85,19,20,28,17,9,1,10,8,6,13,12,27,24,26,2,25,23,29,3,21,14,30,11,16,5,18,7,15,4,22,4,3,3,5,5,5,5,4,5,3,5,3,3,3,4,3,4,4,5,4,4,4,4,5,5,4,4,3,5,4,5,4,2,5,5,5,5,5,5,5,5,4,4,5,5,4,4,2,5,5,4,4,5,3,5,5,5,3,5,4,4,5,3,4,5,5,5,4,5,4,4,3,4,3,5,4,4,4,5,4,4,4,4,4,4,5,5,4,5,4,5,5,3,5,4,4,5,4,5,4,5,3,3,3,4,3,4,4,5,4,4,4,4,4,4,4,5,3,5,4,19,Female,White,sona
Not Disclosed,86,16,21,20,6,17,22,7,23,11,13,14,29,24,5,18,12,25,28,2,1,27,9,15,10,3,19,4,26,30,8,5,4,5,1,4,2,4,4,2,1,1,1,4,4,4,3,4,2,5,2,1,2,2,4,5,3,5,3,1,2,5,5,5,2,5,4,5,5,5,3,3,1,4,2,4,4,3,5,5,4,5,5,2,5,5,5,4,2,2,2,3,3,4,2,4,3,5,4,5,2,1,4,4,4,4,4,4,2,5,4,2,3,2,4,5,2,3,4,2,1,4,4,2,2,3,3,5,5,2,1,1,1,4,4,5,4,4,4,4,4,1,2,3,4,5,3,4,3,4,2,20,Female,White,sona
Disclosed,87,26,1,9,19,3,7,17,6,12,20,18,30,2,4,10,28,23,22,11,25,14,5,21,24,29,8,16,13,15,27,4,4,4,5,5,4,5,4,4,4,5,5,4,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,3,3,4,5,4,5,4,4,5,5,3,1,3,3,4,3,3,3,5,3,4,5,3,4,5,5,5,3,4,2,5,5,4,4,4,4,5,4,4,4,5,3,3,5,5,5,5,4,4,4,4,5,5,4,4,5,4,5,4,5,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,4,5,5,4,5,5,4,5,5,5,5,5,5,4,19,Male,White,sona
Disclosed,88,26,5,9,1,13,18,25,22,2,3,16,30,21,10,24,12,11,29,6,19,15,20,8,14,7,27,4,17,23,28,2,2,5,4,4,4,5,2,5,3,2,4,5,1,4,4,5,1,4,2,1,1,2,4,4,5,4,4,4,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,5,5,5,5,5,3,5,4,5,5,5,5,5,4,4,5,4,3,4,4,5,4,5,5,5,4,4,4,3,4,4,4,5,5,4,4,5,5,5,5,5,5,5,4,4,5,4,5,4,5,4,5,4,5,3,4,4,4,3,3,4,5,5,5,4,5,4,20,Female,White,sona
Not Disclosed,89,10,15,29,16,11,9,2,23,4,19,25,21,13,28,17,24,12,7,5,26,27,20,22,14,3,8,1,30,6,18,4,3,3,5,4,4,5,5,5,4,5,2,5,4,4,1,3,5,5,4,4,4,4,1,5,5,5,1,5,2,5,2,2,4,3,5,5,4,4,4,5,2,4,4,3,2,4,1,5,2,4,4,4,1,4,4,4,1,5,2,4,2,2,5,5,4,5,4,5,4,5,1,4,4,4,3,3,5,5,4,4,3,4,2,5,4,5,1,5,2,4,2,3,4,4,5,4,4,4,3,4,2,5,2,3,1,2,5,4,4,4,3,2,1,5,4,4,1,5,3,20,Female,White,sona
Not Disclosed,90,2,10,21,18,14,8,11,17,19,9,23,6,27,26,13,30,25,20,1,15,3,28,16,5,22,7,24,12,4,29,5,4,5,5,5,5,5,4,5,4,5,1,4,2,4,1,2,5,5,4,4,3,2,5,5,5,5,3,5,2,5,3,4,5,5,5,5,5,5,4,5,1,2,5,4,1,2,2,5,4,4,4,4,5,5,5,5,3,5,2,5,4,5,5,4,5,5,4,5,5,5,1,2,2,4,1,2,5,5,4,4,4,4,5,4,5,2,2,5,3,5,3,5,5,5,5,5,4,5,4,5,1,5,2,4,1,1,3,5,4,3,4,2,5,5,5,5,2,5,2,21,Female,White,sona
Disclosed,91,4,27,28,22,14,12,6,3,9,23,26,20,16,13,2,7,21,15,24,1,30,19,25,10,29,5,8,18,17,11,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,3,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,19,Female,White,sona
Not Disclosed,92,13,10,17,26,23,25,24,20,19,16,4,14,11,21,9,27,7,5,15,6,22,3,8,28,12,2,18,29,1,30,5,5,4,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,Female,White,sona
Disclosed,93,19,14,13,9,18,15,26,4,28,6,30,25,3,29,24,7,11,17,5,23,22,16,12,27,10,2,20,8,1,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,5,5,5,5,5,5,4,4,5,5,4,5,3,5,4,5,4,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,Female,White,sona
Not Disclosed,94,29,27,24,9,14,15,13,21,3,20,18,30,19,23,26,12,16,4,22,17,8,1,10,11,7,6,5,25,2,28,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,4,5,5,4,4,5,5,4,5,5,5,5,3,5,4,3,4,4,5,4,4,4,4,5,4,4,2,2,3,3,4,5,5,5,4,5,5,5,5,5,5,5,3,5,4,3,4,3,4,5,4,4,4,5,3,4,2,5,3,3,5,5,5,4,4,4,5,4,4,5,5,5,2,5,3,4,4,4,5,4,4,4,4,5,4,4,2,3,4,4,4,5,5,4,5,5,5,5,5,5,5,5,3,5,4,21,Male,White,sona
Disclosed,95,9,19,26,7,13,15,3,14,2,29,12,25,18,23,22,27,5,20,8,16,11,24,4,21,1,6,10,30,17,28,4,3,3,4,4,4,4,4,5,3,4,3,4,3,4,3,4,3,5,3,3,4,4,3,5,4,4,3,4,4,5,3,3,5,5,5,5,5,5,5,5,3,4,4,5,4,3,3,5,4,5,5,5,3,5,4,5,3,5,5,5,3,3,5,5,5,5,5,5,5,5,3,4,4,4,3,4,3,5,5,5,4,5,3,5,4,5,3,4,3,4,3,3,4,4,3,4,4,5,3,4,3,4,3,4,2,3,3,4,4,3,3,4,3,5,4,4,3,4,3,21,Female,White,sona
Not Disclosed,96,22,6,26,11,20,19,17,24,4,28,9,30,21,29,23,5,25,8,12,7,27,2,10,14,16,3,15,13,1,18,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,4,5,2,4,3,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,18,Female,White,sona
Disclosed,97,18,12,14,26,2,8,23,13,7,5,15,10,3,19,17,16,24,28,25,9,29,1,27,22,20,4,6,30,11,21,4,5,5,5,4,4,4,5,4,5,5,1,5,4,5,3,5,5,5,5,5,5,5,5,2,2,2,5,5,5,5,3,5,5,4,5,2,5,3,4,5,1,5,5,5,5,5,5,5,5,3,5,5,5,3,4,5,3,3,5,5,3,5,4,5,5,5,1,3,3,5,2,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,3,4,5,5,5,5,1,5,2,5,5,5,3,3,2,4,5,5,5, ,Male,Black,sona
Not Disclosed,98,29,13,27,15,16,10,12,8,5,2,28,30,20,25,1,22,24,21,4,7,6,18,26,11,17,3,14,19,9,23,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,4,4,4,5,4,5,5,5,5,5,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,Female,White,sona
Disclosed,99,13,14,15,9,18,21,4,10,26,7,1,20,5,27,28,8,24,6,29,16,30,23,22,3,17,2,11,25,12,19,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, ,Female,Asian,sona
Not Disclosed,100,12,21,19,1,15,26,13,18,10,24,14,30,23,27,22,28,8,4,6,16,25,3,17,20,9,5,7,29,2,11,2,2,5,5,5,5,5,5,5,5,5,2,4,4,2,5,5,4,5,4,4,5,5,5,5,5,5,2,5,5,5,1,4,5,5,5,5,5,5,5,5,1,4,5,4,5,5,4,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,5,5,5,5,5,5,5,5,1,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,22,Female,White,sona
Disclosed,101,21,25,27,11,9,17,3,14,8,15,7,30,23,12,10,24,26,29,2,19,16,22,20,18,4,1,5,6,13,28,2,2,2,5,2,3,4,4,3,3,4,1,1,1,2,2,2,1,5,3,2,3,4,4,5,4,5,3,3,2,4,3,4,5,3,5,5,4,5,4,3,1,2,3,2,3,3,2,4,4,2,4,4,5,4,5,5,2,5,3,2,3,2,4,5,4,5,4,5,3,5,1,2,2,4,3,2,2,4,4,3,3,4,4,5,4,5,3,4,2,4,2,4,5,4,5,5,4,5,4,5,5,4,3,4,4,3,2,4,4,4,4,4,4,5,5,5,4,5,2,20,Male,White,sona
Not Disclosed,102,21,28,5,25,3,30,6,11,15,24,22,7,16,12,1,8,29,13,19,14,23,17,4,27,9,2,20,26,18,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,Male,Mixed,sona
Disclosed,103,14,24,16,13,1,23,22,17,5,30,28,18,11,7,19,27,12,3,15,9,10,6,29,8,25,4,2,26,21,20,4,2,2,4,2,2,2,2,4,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,4,4,4,2,4,2,4,2,2,4,4,2,4,4,4,4,4,2,2,2,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,4,2,2,4,4,2,4,4,4,2,4,2,4,2,2,2,2,2,4,2,4,2,4,2,2,4,4,2,4,2,4,2,2,4,2,2,2,1,4,2,4,2,4,2,2,1,2,4,4,2,2,2,2,2,2,4,4,2,4,2,20,Female,Other,sona
Disclosed,104,15,30,9,8,16,7,26,21,24,5,10,13,22,20,2,11,1,29,19,25,27,28,12,23,17,18,4,6,3,14,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,Male,White,sona
Not Disclosed,105,16,17,9,3,1,8,21,18,4,26,11,29,22,6,25,27,10,12,23,20,7,24,30,2,13,15,28,19,14,5,5,5,4,4,5,5,5,5,4,4,5,3,4,4,5,4,4,3,4,4,4,4,3,4,5,4,5,3,3,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,4,5,4,4,5,3,5,4,4,3,4,4,5,4,5,4,4,4, ,Female,White,sona
