"Participant","Experimental_Group","recruitment_platform","AIper_neg","Messages","Effects_Perception","AI_or_Hum"
12,"Disclosed","Prolific",3.25,"AI7_EP",5,"AI"
12,"Disclosed","Prolific",3.25,"AI8_EP",5,"AI"
12,"Disclosed","Prolific",3.25,"AI9_EP",4.33333333333333,"AI"
12,"Disclosed","Prolific",3.25,"AI10_EP",4.33333333333333,"AI"
12,"Disclosed","Prolific",3.25,"AI11_EP",5,"AI"
12,"Disclosed","Prolific",3.25,"AI12_EP",5,"AI"
12,"Disclosed","Prolific",3.25,"AI13_EP",4.66666666666667,"AI"
12,"Disclosed","Prolific",3.25,"AI14_EP",4,"AI"
12,"Disclosed","Prolific",3.25,"AI15_EP",4.33333333333333,"AI"
12,"Disclosed","Prolific",3.25,"Human1_EP",3,"Human"
12,"Disclosed","Prolific",3.25,"Human2_EP",3,"Human"
12,"Disclosed","Prolific",3.25,"Human3_EP",2.66666666666667,"Human"
12,"Disclosed","Prolific",3.25,"Human4_EP",5,"Human"
12,"Disclosed","Prolific",3.25,"Human5_EP",3.33333333333333,"Human"
12,"Disclosed","Prolific",3.25,"Human6_EP",4.66666666666667,"Human"
12,"Disclosed","Prolific",3.25,"Human7_EP",3,"Human"
12,"Disclosed","Prolific",3.25,"Human8_EP",3.66666666666667,"Human"
12,"Disclosed","Prolific",3.25,"Human9_EP",3.33333333333333,"Human"
12,"Disclosed","Prolific",3.25,"Human10_EP",3.66666666666667,"Human"
12,"Disclosed","Prolific",3.25,"Human11_EP",3.33333333333333,"Human"
12,"Disclosed","Prolific",3.25,"Human12_EP",3,"Human"
12,"Disclosed","Prolific",3.25,"Human13_EP",5,"Human"
12,"Disclosed","Prolific",3.25,"Human14_EP",3,"Human"
12,"Disclosed","Prolific",3.25,"Human15_EP",3,"Human"
13,"Not Disclosed","Prolific",2.625,"AI1_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI2_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI3_EP",3.66666666666667,"AI"
13,"Not Disclosed","Prolific",2.625,"AI4_EP",3.66666666666667,"AI"
13,"Not Disclosed","Prolific",2.625,"AI5_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI6_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI7_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI8_EP",3.66666666666667,"AI"
13,"Not Disclosed","Prolific",2.625,"AI9_EP",3.66666666666667,"AI"
13,"Not Disclosed","Prolific",2.625,"AI10_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI11_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI12_EP",4,"AI"
13,"Not Disclosed","Prolific",2.625,"AI13_EP",3.66666666666667,"AI"
13,"Not Disclosed","Prolific",2.625,"AI14_EP",3.66666666666667,"AI"
13,"Not Disclosed","Prolific",2.625,"AI15_EP",4,"AI"
